,weekday,month,bus_route_id,violation_type,violations
95,Friday,2021-04,M23+,MOBILE BUS LANE,16
96,Friday,2021-04,M34+,MOBILE BUS LANE,16
97,Friday,2021-04,M86+,MOBILE BUS LANE,9
98,Friday,2021-05,B44+,MOBILE BUS LANE,112
99,Friday,2021-05,B46+,MOBILE BUS LANE,348
100,Friday,2021-05,M14+,MOBILE BUS LANE,90
101,Friday,2021-05,M15+,MOBILE BUS LANE,645
102,Friday,2021-05,M23+,MOBILE BUS LANE,1
103,Friday,2021-05,M34+,MOBILE BUS LANE,11
104,Friday,2021-05,M86+,MOBILE BUS LANE,3
105,Friday,2021-06,B44+,MOBILE BUS LANE,43
106,Friday,2021-06,B46+,MOBILE BUS LANE,205
107,Friday,2021-06,M14+,MOBILE BUS LANE,50
108,Friday,2021-06,M15+,MOBILE BUS LANE,221
109,Friday,2021-06,M23+,MOBILE BUS LANE,2
110,Friday,2021-06,M34+,MOBILE BUS LANE,14
111,Friday,2021-06,M86+,MOBILE BUS LANE,1
112,Friday,2021-07,B44+,MOBILE BUS LANE,181
113,Friday,2021-07,B46+,MOBILE BUS LANE,570
114,Friday,2021-07,M14+,MOBILE BUS LANE,225
115,Friday,2021-07,M15+,MOBILE BUS LANE,832
116,Friday,2021-07,M23+,MOBILE BUS LANE,7
117,Friday,2021-07,M34+,MOBILE BUS LANE,18
118,Friday,2021-07,M86+,MOBILE BUS LANE,8
119,Friday,2021-08,B44+,MOBILE BUS LANE,166
120,Friday,2021-08,B46+,MOBILE BUS LANE,622
121,Friday,2021-08,M14+,MOBILE BUS LANE,228
122,Friday,2021-08,M15+,MOBILE BUS LANE,715
123,Friday,2021-08,M23+,MOBILE BUS LANE,5
124,Friday,2021-08,M34+,MOBILE BUS LANE,28
125,Friday,2021-08,M86+,MOBILE BUS LANE,11
126,Friday,2021-09,B44+,MOBILE BUS LANE,224
127,Friday,2021-09,B46+,MOBILE BUS LANE,528
128,Friday,2021-09,M14+,MOBILE BUS LANE,162
129,Friday,2021-09,M15+,MOBILE BUS LANE,739
130,Friday,2021-09,M23+,MOBILE BUS LANE,3
131,Friday,2021-09,M34+,MOBILE BUS LANE,10
132,Friday,2021-09,M86+,MOBILE BUS LANE,11
133,Friday,2021-10,B44+,MOBILE BUS LANE,232
134,Friday,2021-10,B46+,MOBILE BUS LANE,447
135,Friday,2021-10,M14+,MOBILE BUS LANE,174
136,Friday,2021-10,M15+,MOBILE BUS LANE,973
137,Friday,2021-10,M23+,MOBILE BUS LANE,8
138,Friday,2021-10,M34+,MOBILE BUS LANE,9
139,Friday,2021-10,M86+,MOBILE BUS LANE,11
140,Friday,2021-11,B44+,MOBILE BUS LANE,142
141,Friday,2021-11,B46+,MOBILE BUS LANE,394
142,Friday,2021-11,M14+,MOBILE BUS LANE,127
143,Friday,2021-11,M15+,MOBILE BUS LANE,902
144,Friday,2021-11,M23+,MOBILE BUS LANE,6
145,Friday,2021-11,M34+,MOBILE BUS LANE,12
146,Friday,2021-11,M86+,MOBILE BUS LANE,9
147,Friday,2021-12,B44+,MOBILE BUS LANE,84
148,Friday,2021-12,B46+,MOBILE BUS LANE,322
149,Friday,2021-12,M14+,MOBILE BUS LANE,73
150,Friday,2021-12,M15+,MOBILE BUS LANE,616
151,Friday,2021-12,M23+,MOBILE BUS LANE,8
152,Friday,2021-12,M34+,MOBILE BUS LANE,13
153,Friday,2021-12,M86+,MOBILE BUS LANE,3
154,Friday,2022-01,B44+,MOBILE BUS LANE,120
155,Friday,2022-01,B46+,MOBILE BUS LANE,254
156,Friday,2022-01,M14+,MOBILE BUS LANE,106
157,Friday,2022-01,M15+,MOBILE BUS LANE,584
158,Friday,2022-01,M23+,MOBILE BUS LANE,4
159,Friday,2022-01,M34+,MOBILE BUS LANE,20
160,Friday,2022-01,M86+,MOBILE BUS LANE,6
161,Friday,2022-02,B44+,MOBILE BUS LANE,104
162,Friday,2022-02,B46+,MOBILE BUS LANE,252
163,Friday,2022-02,M14+,MOBILE BUS LANE,91
164,Friday,2022-02,M15+,MOBILE BUS LANE,653
165,Friday,2022-02,M23+,MOBILE BUS LANE,2
166,Friday,2022-02,M34+,MOBILE BUS LANE,19
167,Friday,2022-02,M86+,MOBILE BUS LANE,4
168,Friday,2022-03,B44+,MOBILE BUS LANE,114
169,Friday,2022-03,B46+,MOBILE BUS LANE,287
170,Friday,2022-03,M14+,MOBILE BUS LANE,95
171,Friday,2022-03,M15+,MOBILE BUS LANE,748
172,Friday,2022-03,M23+,MOBILE BUS LANE,18
173,Friday,2022-03,M34+,MOBILE BUS LANE,14
174,Friday,2022-03,M86+,MOBILE BUS LANE,7
175,Friday,2022-04,B44+,MOBILE BUS LANE,93
176,Friday,2022-04,B46+,MOBILE BUS LANE,203
177,Friday,2022-04,M14+,MOBILE BUS LANE,89
178,Friday,2022-04,M15+,MOBILE BUS LANE,568
179,Friday,2022-04,M23+,MOBILE BUS LANE,11
180,Friday,2022-04,M34+,MOBILE BUS LANE,15
181,Friday,2022-04,M86+,MOBILE BUS LANE,3
