Route ID,False,True,Pct Change
M79+,7.188657136110586,7.656829754773651,6.512657507496164
B26,7.554159577222085,7.774651940654403,2.9188205673754184
M42,5.556180902215978,5.717099464623977,2.896208119210439
M4,6.368949859273057,6.505887127436259,2.1500760908617393
B41,7.397586245494047,7.464962449501797,0.910786326401942
B82+,9.134296781977573,9.025208959891646,-1.1942662329645648
Q54,8.84800684137904,8.686815992023302,-1.8217758218936257
BX36,7.355120452913666,7.215292315684487,-1.901099215496696
S46,11.833244003588751,11.565723369675842,-2.26075481779786
Q5,9.576649259016241,9.307016864754361,-2.81551915465658
