,bus_route_id,month,weekday,violation_type,violations
95,B25,2024-01,Thursday,MOBILE BUS LANE,150
96,B25,2024-01,Tuesday,MOBILE BUS LANE,202
97,B25,2024-01,Wednesday,MOBILE BUS LANE,236
98,B25,2024-02,Friday,MOBILE BUS LANE,105
99,B25,2024-02,Monday,MOBILE BUS LANE,73
100,B25,2024-02,Saturday,MOBILE BUS LANE,3
101,B25,2024-02,Sunday,MOBILE BUS LANE,2
102,B25,2024-02,Thursday,MOBILE BUS LANE,166
103,B25,2024-02,Tuesday,MOBILE BUS LANE,68
104,B25,2024-02,Wednesday,MOBILE BUS LANE,95
105,B25,2024-03,Friday,MOBILE BUS LANE,94
106,B25,2024-03,Monday,MOBILE BUS LANE,86
107,B25,2024-03,Saturday,MOBILE BUS LANE,11
108,B25,2024-03,Sunday,MOBILE BUS LANE,2
109,B25,2024-03,Thursday,MOBILE BUS LANE,102
110,B25,2024-03,Tuesday,MOBILE BUS LANE,105
111,B25,2024-03,Wednesday,MOBILE BUS LANE,63
112,B25,2024-04,Friday,MOBILE BUS LANE,58
113,B25,2024-04,Monday,MOBILE BUS LANE,81
114,B25,2024-04,Saturday,MOBILE BUS LANE,5
115,B25,2024-04,Sunday,MOBILE BUS LANE,5
116,B25,2024-04,Thursday,MOBILE BUS LANE,55
117,B25,2024-04,Tuesday,MOBILE BUS LANE,76
118,B25,2024-04,Wednesday,MOBILE BUS LANE,79
119,B25,2024-05,Friday,MOBILE BUS LANE,80
120,B25,2024-05,Monday,MOBILE BUS LANE,71
121,B25,2024-05,Saturday,MOBILE BUS LANE,5
122,B25,2024-05,Sunday,MOBILE BUS LANE,2
123,B25,2024-05,Thursday,MOBILE BUS LANE,95
124,B25,2024-05,Tuesday,MOBILE BUS LANE,63
125,B25,2024-05,Wednesday,MOBILE BUS LANE,95
126,B25,2024-06,Friday,MOBILE BUS LANE,87
127,B25,2024-06,Monday,MOBILE BUS LANE,89
128,B25,2024-06,Saturday,MOBILE BUS LANE,12
129,B25,2024-06,Sunday,MOBILE BUS LANE,1
130,B25,2024-06,Thursday,MOBILE BUS LANE,55
131,B25,2024-06,Tuesday,MOBILE BUS LANE,86
132,B25,2024-06,Wednesday,MOBILE BUS LANE,85
133,B25,2024-07,Friday,MOBILE BUS LANE,63
134,B25,2024-07,Monday,MOBILE BUS LANE,118
135,B25,2024-07,Saturday,MOBILE BUS LANE,5
136,B25,2024-07,Sunday,MOBILE BUS LANE,1
137,B25,2024-07,Thursday,MOBILE BUS LANE,58
138,B25,2024-07,Tuesday,MOBILE BUS LANE,115
139,B25,2024-07,Wednesday,MOBILE BUS LANE,78
140,B25,2024-08,Friday,MOBILE BUS LANE,95
141,B25,2024-08,Monday,MOBILE BUS LANE,68
142,B25,2024-08,Saturday,MOBILE BUS LANE,11
143,B25,2024-08,Sunday,MOBILE BUS LANE,1
144,B25,2024-08,Thursday,MOBILE BUS LANE,97
145,B25,2024-08,Tuesday,MOBILE BUS LANE,65
146,B25,2024-08,Wednesday,MOBILE BUS LANE,90
147,B25,2024-09,Friday,MOBILE BUS LANE,146
148,B25,2024-09,Monday,MOBILE BUS LANE,187
149,B25,2024-09,Monday,MOBILE BUS STOP,84
150,B25,2024-09,Monday,MOBILE DOUBLE PARKED,22
151,B25,2024-09,Saturday,MOBILE BUS LANE,7
152,B25,2024-09,Sunday,MOBILE BUS LANE,4
153,B25,2024-09,Thursday,MOBILE BUS LANE,120
154,B25,2024-09,Tuesday,MOBILE BUS LANE,140
155,B25,2024-09,Wednesday,MOBILE BUS LANE,117
156,B25,2024-10,Friday,MOBILE BUS LANE,191
157,B25,2024-10,Friday,MOBILE BUS STOP,255
158,B25,2024-10,Friday,MOBILE DOUBLE PARKED,104
159,B25,2024-10,Monday,MOBILE BUS LANE,204
160,B25,2024-10,Monday,MOBILE BUS STOP,262
161,B25,2024-10,Monday,MOBILE DOUBLE PARKED,94
