,month,bus_route_id,violation_type,violations
1945,2025-08,M79+,MOBILE DOUBLE PARKED,332
1946,2025-08,M86+,MOBILE BUS LANE,37
1947,2025-08,M86+,MOBILE BUS STOP,74
1948,2025-08,M86+,MOBILE DOUBLE PARKED,425
1949,2025-08,Q43,MOBILE BUS LANE,248
1950,2025-08,Q43,MOBILE BUS STOP,71
1951,2025-08,Q43,MOBILE DOUBLE PARKED,156
1952,2025-08,Q44+,MOBILE BUS LANE,700
1953,2025-08,Q44+,MOBILE BUS STOP,990
1954,2025-08,Q44+,MOBILE DOUBLE PARKED,254
1955,2025-08,Q5,MOBILE BUS LANE,136
1956,2025-08,Q5,MOBILE BUS STOP,42
1957,2025-08,Q5,MOBILE DOUBLE PARKED,50
1958,2025-08,Q53+,MOBILE BUS LANE,217
1959,2025-08,Q53+,MOBILE BUS STOP,618
1960,2025-08,Q53+,MOBILE DOUBLE PARKED,75
1961,2025-08,Q54,MOBILE BUS LANE,44
1962,2025-08,Q54,MOBILE BUS STOP,637
1963,2025-08,Q54,MOBILE DOUBLE PARKED,155
1964,2025-08,Q58,MOBILE BUS LANE,35
1965,2025-08,Q58,MOBILE BUS STOP,60
1966,2025-08,Q58,MOBILE DOUBLE PARKED,11
1967,2025-08,Q69,MOBILE BUS LANE,42
1968,2025-08,Q69,MOBILE BUS STOP,67
1969,2025-08,Q69,MOBILE DOUBLE PARKED,15
1970,2025-08,S46,MOBILE BUS LANE,72
1971,2025-08,S46,MOBILE BUS STOP,65
1972,2025-08,S46,MOBILE DOUBLE PARKED,21
1973,2025-08,S79+,MOBILE BUS LANE,37
1974,2025-08,S79+,MOBILE BUS STOP,65
1975,2025-08,S79+,MOBILE DOUBLE PARKED,112
