,stop_name,violations,avg_lat,avg_lon
82,SOUTHERN BLVD/HUNTS POINT AV,9346,40.8223216728012,-73.89178504707897
83,BAY PKWY/BATH AV,9251,40.598262792671065,-73.9964185770187
84,NOSTRAND AV/AVENUE R,9222,40.6100980214704,-73.9462683982867
85,E FORDHAM RD/ JEROME AV,9209,40.86277461928548,-73.90321082158758
86,WEBSTER AV/E FORDHAM RD,9174,40.85628764366689,-73.89553643939394
87,W 125 ST/ADAM C POWELL BLVD,9089,40.807904858180216,-73.94788844394323
88,EAST TREMONT AV/WEBSTER AV,9041,40.847338877557796,-73.89954538789956
89,KINGS HWY/E 16 ST,9007,40.609128565893194,-73.95750347296547
90,W FORDHAM RD/UNIVERSITY AV,8999,40.862717150238915,-73.90333157406378
91,1 AV/E 116 ST,8895,40.7984177070075,-73.9336269713633
92,UTICA AV/FLATLANDS AV,8891,40.624284593512165,-73.92744028529411
93,E 163 ST/PROSPECT AV,8886,40.822345297546704,-73.9020286504614
94,1 AV/E 86 ST,8886,40.7806016379172,-73.9466788967525
95,NOSTRAND AV/CHURCH AV,8856,40.64657350123118,-73.94912209773524
96,2 AV/E 28 ST,8791,40.739674823720875,-73.97954804777397
97,FLATBUSH AV/NOSTRAND AV,8779,40.63042007498918,-73.94503122834757
98,E 125 ST/PARK AV,8759,40.804000367393535,-73.94343107923278
99,SOUTHERN BLVD/LONGWOOD AV,8753,40.81687738626757,-73.89603350279903
100,KINGS HWY/CONEY ISLAND AV,8682,40.6068752373877,-73.96343565641557
101,UTICA AV/AVENUE H,8662,40.635044915146615,-73.92850708277534
102,SOUTHERN BLVD/JENNINGS ST,8651,40.831777408854464,-73.8911365358918
103,UTICA AV/EASTERN PKWY,8635,40.669344560741166,-73.93104118413434
104,4 AV/86 ST,8610,40.62099583159117,-74.02676238594658
105,W 86 ST/COLUMBUS AV,8501,40.7864432323609,-73.97213764674274
106,AMSTERDAM AV/W 175 ST,8382,40.84006708315437,-73.93578796074922
107,ARCHER AV/153 ST,8237,40.701495524827,-73.80431055262838
108,WEST FORDHAM RD/UNIVERSITY AV,7897,40.86272226782322,-73.90274515524884
109,EAST TREMONT AV/GRAND CONCOURSE EAST,7790,40.851324843132225,-73.90856249820283
110,W 145 ST/BROADWAY,7730,40.82608463479665,-73.94901742378956
111,JAMAICA AV/GUY R BREWER BLVD,7614,40.705125849750466,-73.79575524192278
112,UNIVERSITY AV/WEST TREMONT AV,7596,40.849882219720904,-73.91502638770406
113,MALCOLM X BLVD/FULTON ST,7576,40.67093067133052,-73.93090565641499
114,UTICA AV/EMPIRE BL,7569,40.66350884609063,-73.93143876795085
115,E FORDHAM RD/3 AV,7399,40.86005446979321,-73.88825574550616
116,EAST TREMONT AV/COMMONWEALTH AV,7378,40.8401471263215,-73.86762717348874
117,NOSTRAND AV/FLATBUSH AV,7363,40.62775545361945,-73.94692679478473
118,W 145 ST/MALCOLM X BLVD,7346,40.821182427579636,-73.93671694282602
119,HUNTS POINT AV/SENECA AV,7313,40.819160862300016,-73.88997864952823
120,ARCHER AV/MERRICK BLVD,7300,40.707017998630135,-73.79303608739727
121,UTICA AV/EMPIRE BLVD,7234,40.6635587209013,-73.9313854482997
122,E 167 ST/GRAND CONCOURSE,7172,40.83373621081986,-73.91641859202454
123,BROADWAY/W 116 ST,6973,40.806242904918726,-73.96518277460312
124,HILLSIDE AV/169 ST,6860,40.71037958323615,-73.79376386239068
125,BAY PKWY/86 ST,6821,40.6029607921126,-73.9927007198358
126,WHITE PLAINS RD/STORY AV,6794,40.823777828654755,-73.86260256196532
127,SOUTHERN BLVD/E 163 ST,6792,40.81999014148999,-73.89258390871613
128,BROADWAY/W 106 ST,6769,40.80528415556212,-73.9656732597134
129,SOUTHERN BLVD/E 172 ST,6627,40.8334027692772,-73.89105994522409
130,EAST FORDHAM RD/ JEROME AV,6605,40.86278095518547,-73.90320241559425
131,3 AV/E 14 ST,6599,40.73763089032467,-73.98397966316655
132,MAIN ST/39 AV,6572,40.75995195115642,-73.83028652936702
133,ROCKAWAY PKWY/SUBWAY STATION,6568,40.64240253897685,-73.9035495613581
134,1 AV/E 79 ST,6559,40.7745147690913,-73.95111169699368
135,AMSTERDAM AV/W 152 ST,6559,40.826262251257816,-73.94472578441835
136,JAY ST/TILLARY ST,6463,40.69301796100882,-73.98712814683583
137,NOSTRAND AV/ST JOHNS PL,6406,40.667204189003535,-73.95074053563275
138,WEBSTER AV/E TREMONT AV,6404,40.84742980965022,-73.90106070971268
139,1 AV/E 42 ST,6369,40.75092680158886,-73.96827348333393
140,AMSTERDAM AV/W 172 ST,6339,40.83684673765578,-73.93745023615712
141,HALLECK ST/SPOFFORD AV,6331,40.81382372421419,-73.88288454872848
142,SUTPHIN BL/HILLSIDE AV,6278,40.704124847722206,-73.80979084246574
143,EAST TREMONT AV/3 AV,6216,40.84698959346847,-73.89784400289575
144,2 AV/E 32 ST,6190,40.74244941602766,-73.97760366137291
145,MELROSE AV/E 162 ST,6155,40.8295750448416,-73.91106532510155
146,UNION ST/35 AV,6152,40.763359778933676,-73.83070695464889
147,W 145 ST/CONVENT AV,6130,40.82424204274062,-73.94231838042414
148,3 AV/E 106 ST,6117,40.79342609318294,-73.9435330912212
149,CHURCH AV/FLATBUSH AV,6108,40.650302639652914,-73.9588524335298
150,SOUTHERN BLVD/AV SAINT JOHN,6092,40.81389609093893,-73.89985151986211
151,AMSTERDAM AV/W 171 ST,6087,40.8414930137999,-73.93534056760309
152,41 RD/MAIN ST,6054,40.755317738519985,-73.83142974033697
